id,name,status,total,address,date
2,Arun Tomar,placed,320,Ahehmdabad,Sun Mar 29 2026 18:08:43 GMT+0530 (India Standard Time)
3,Arun Tomar,placed,450,Ahehmdabad,Sun Mar 29 2026 18:10:03 GMT+0530 (India Standard Time)
4,Arun Tomar,placed,170,Ahehmdabad,Sun Mar 29 2026 18:26:44 GMT+0530 (India Standard Time)
5,Arun Tomar,placed,330,Ahehmdabad,Sun Mar 29 2026 18:27:11 GMT+0530 (India Standard Time)
6,Arun Tomar,placed,4320,Ahehmdabad,Sun Mar 29 2026 18:35:38 GMT+0530 (India Standard Time)
7,Arun Tomar,placed,320,Ahehmdabad,Sun Mar 29 2026 18:35:53 GMT+0530 (India Standard Time)
8,Arun Tomar,placed,170,Ahehmdabad,Sun Mar 29 2026 18:36:06 GMT+0530 (India Standard Time)
9,Arun Tomar,placed,470,Ahehmdabad,Sun Mar 29 2026 18:36:48 GMT+0530 (India Standard Time)
10,Arun Tomar,placed,150,Ahehmdabad,Sat Apr 04 2026 11:45:40 GMT+0530 (India Standard Time)
11,Arun Tomar,placed,150,Ahehmdabad,Thu May 14 2026 22:09:38 GMT+0530 (India Standard Time)
12,Arun Tomar,placed,210,Ahehmdabad,Thu May 14 2026 22:14:45 GMT+0530 (India Standard Time)
13,Arun Tomar,placed,750,Ahehmdabad,Sat May 16 2026 23:05:26 GMT+0530 (India Standard Time)
14,Arun Tomar,placed,170,Ahehmdabad,Sun May 17 2026 03:01:25 GMT+0530 (India Standard Time)
