id,name,status,total,address,date
2,Arun Tomar,placed,85,as,Thu Feb 26 2026 10:54:12 GMT+0530 (India Standard Time)
3,Arun Tomar,placed,85,das,Thu Feb 26 2026 10:54:42 GMT+0530 (India Standard Time)
4,Arun Tomar,placed,85,das,Thu Feb 26 2026 10:54:52 GMT+0530 (India Standard Time)
5,Arun Tomar,placed,85,das,Thu Feb 26 2026 10:55:40 GMT+0530 (India Standard Time)
6,Arun Tomar,placed,85,das,Thu Feb 26 2026 10:56:23 GMT+0530 (India Standard Time)
7,Arun Tomar,placed,85,das,Thu Feb 26 2026 10:58:10 GMT+0530 (India Standard Time)
8,Arun Tomar,placed,85,das,Thu Feb 26 2026 10:58:57 GMT+0530 (India Standard Time)
9,Arun Tomar,placed,85,das,Thu Feb 26 2026 11:00:15 GMT+0530 (India Standard Time)
10,Arun Tomar,placed,85,das,Thu Feb 26 2026 11:01:27 GMT+0530 (India Standard Time)
11,Arun Tomar,placed,85,das,Thu Feb 26 2026 11:02:37 GMT+0530 (India Standard Time)
12,Arun Tomar,placed,85,das,Thu Feb 26 2026 11:03:00 GMT+0530 (India Standard Time)
